A,B,C,D
1.47146896669,2.10174790308,45.32733,0.31478
1.0201098756,2.43946531566,44.51848,0.07224
0.537923585709,1.96008941829,44.32612,0.01430
0.343262578241,1.07238543632,44.69770,0.00526
0.115154754129,1.46802525229,44.30242,0.01505
0.397381855456,1.10023227008,44.83574,0.05485
0.947051706789,2.25185853379,44.57033,0.17767
0.663434884988,1.26394455586,44.30397,0.01228
1.64088809748,2.11465713486,44.43193,0.06483
1.14399329515,2.53145013993,44.75459,0.12151
3.14917419028,1.89966345726,44.69916,0.00716
0.957337082511,2.2955415612,44.88584,0.00441
0.427887289802,1.96170437303,44.43886,0.04585
1.22774271389,2.35383018227,44.10607,0.01557
2.40871800881,2.56607068875,44.28278,0.01757
1.38714291325,2.50003829097,45.03406,0.09969
1.46119948739,2.04819503498,44.28599,0.01597
0.592198666553,2.26926348157,44.51935,0.04301
0.660131958812,2.2504928573,44.25256,0.10655
0.456238065352,1.15805300602,44.13888,0.00574
0.80803831312,2.09722136593,44.97359,0.00946
0.202854976541,1.7923335732,44.90593,0.06272
0.273175003956,1.18557916693,45.67979,0.04363
0.644540998357,1.88972044565,44.45743,0.15649
0.809500576926,2.33275169757,44.54183,0.15627
0.0829938645806,0.86939934351,44.59501,0.01820
0.967876399668,2.24398121956,44.69004,0.12009
2.19022241904,2.10279169479,44.78482,0.06524
0.903152814565,2.43215325099,45.22008,0.00226
1.25657357363,2.5213468388,44.67030,0.03193
0.115222432877,1.89187732791,44.23784,0.03453
0.627193859126,2.27622394324,44.59427,0.01393
0.725040841049,2.3415310115,44.80879,0.10226
0.508201927132,2.12488024925,44.75154,0.03959
0.137646365367,0.999783579758,44.08426,0.00873
1.06426143347,2.30799940482,44.34647,0.03277
0.43888411508,1.08192211284,44.41080,0.01227
0.612913264823,1.30016140366,44.44258,0.00593
0.109190409747,1.83475880219,44.48394,0.15534
0.351538658688,1.78589564184,45.03598,0.02793
0.422067767631,2.08080694014,44.61065,0.02132
0.601846416747,2.18206750712,44.70652,0.13905
0.339128046002,1.09805462201,44.83296,0.01951
0.750724367146,2.18747120749,44.32271,0.06382
0.615978683883,2.10814504572,44.84746,0.00146
0.648641659297,1.90991481128,44.66365,0.03441
1.13860852978,1.4739914109,44.76287,0.06689
2.58743453914,2.8574541041,45.10199,0.00391
0.443149824282,1.98321600276,44.64622,0.00626
0.319921147015,1.98642736942,44.87745,0.06418
0.404594939565,1.94614962453,44.09679,0.00879
1.28037633364,0.991969634117,44.27269,0.00944
0.783039225513,2.14545502687,44.44430,0.08075
1.13286409305,1.64729397432,44.93558,0.01528
1.25384937326,2.75901342373,44.09816,0.00921
0.5381400064,2.73530233565,44.33125,0.02216
0.247164553151,2.01806746307,44.44104,0.01539
1.46687491732,2.5602574616,44.33125,0.02216
0.753570915348,2.46170886618,44.44104,0.01539
0.574249352574,2.17742907292,44.88637,0.11872
1.19260594175,2.32738833365,44.30239,0.05533
0.484358303338,1.92049791386,44.22117,0.12941
1.07287803133,2.32061204149,44.76188,0.11883
0.810962525486,2.26714483528,45.09383,0.02369
0.344157663504,1.96484078287,44.44021,0.05336
0.526391475162,2.51246381866,44.54921,0.06313
0.542157811172,2.06932390781,44.65970,0.01427
1.98077373591,2.6023809176,44.79900,0.00287
0.845353978004,2.10693799676,44.18964,0.16066
0.506136519372,1.17716485837,44.25669,0.01856
1.54391806382,2.79794671843,44.35819,0.03576
0.685466883108,1.95136798807,44.91202,0.08730
1.51441248683,2.54925469151,45.05713,0.05654
0.489403669299,1.25092901701,44.56043,0.21451
0.505754344996,2.05232522378,44.78145,0.09942
0.577821206716,2.13761329748,44.77507,0.07369
0.935711013349,2.24719593097,44.36424,0.00708
0.189423115683,2.16105361883,44.17580,0.04911
0.629876143999,2.06686974975,44.40151,0.00523
0.668967821011,2.26338317368,44.20654,0.02390
2.65271986821,1.91365862571,44.59746,0.00671
1.24541650503,2.58220689841,44.17015,0.06091
0.927962610278,1.69970689425,44.31297,0.01773
,,44.52867,0.01500
,,44.68251,0.01940
