A,B,,
0.0157958301546,16.8565443488,45.32733,0.31478
0.00410751055234,6.53281337154,44.51848,0.07224
0.00194456184681,8.39940772729,44.32612,0.01430
0.0163653040774,2.58632857107,44.69770,0.00526
0.0447949435158,14.8149776954,44.30242,0.01505
0.00368555230505,0.904213108109,44.83574,0.05485
0.0148739840738,13.6551369803,44.57033,0.17767
0.00510754636523,1.6802530861,44.30397,0.01228
0.153418879912,22.5149602421,44.43193,0.06483
0.459345819749,30.5362519509,44.75459,0.12151
0.00269680921035,10.9511738119,44.69916,0.00716
0.0126517174022,15.6224165317,44.88584,0.00441
0.00310318244285,10.561618785,44.43886,0.04585
0.00494125975733,1.90792625025,44.10607,0.01557
0.0161299825928,8.59499252593,44.28278,0.01757
0.000682333565042,9.19390031884,45.03406,0.09969
0.0301822580885,19.4487777725,44.28599,0.01597
0.00424824547684,11.2221150467,44.51935,0.04301
0.000852141488534,7.50265458021,44.25256,0.10655
0.0605848454134,4.72382543142,44.13888,0.00574
0.0119490706573,12.4050265689,44.97359,0.00946
0.0106376949412,10.191745966,44.90593,0.06272
0.064612764807,39.7920199312,45.67979,0.04363
0.00588615583869,34.6722882638,44.45743,0.15649
0.00955742642351,11.552969694,44.54183,0.15627
0.00338533947995,11.5623414977,44.59501,0.01820
0.0190411214324,11.8420797462,44.69004,0.12009
0.0903087696603,23.4416063649,44.78482,0.06524
0.0143049926031,13.3213596068,45.22008,0.00226
0.0186341713616,19.5811167477,44.67030,0.03193
0.00234339706514,8.23853922288,44.23784,0.03453
0.00588301123829,14.44537256,44.59427,0.01393
0.0329510027785,3.65556387637,44.80879,0.10226
0.00264399617301,3.94643713205,44.75154,0.03959
0.00281356453039,1.83245645127,44.08426,0.00873
0.00937346124083,3.12959406982,44.34647,0.03277
0.0209236099153,14.4624573889,44.41080,0.01227
0.00140964397999,3.33332388645,44.44258,0.00593
0.0161023222908,12.5047610566,44.48394,0.15534
0.00742662517692,9.08032503309,45.03598,0.02793
0.118703063277,17.9827139388,44.61065,0.02132
0.00301970173494,7.98052707055,44.70652,0.13905
0.0035457155611,8.02542546739,44.83296,0.01951
0.00314649408563,0.760373439693,44.32271,0.06382
0.0240727619743,18.2016360147,44.84746,0.00146
0.00193030652968,10.5018909835,44.66365,0.03441
0.000945109674276,4.45353097432,44.76287,0.06689
0.000766276908644,0.645295478239,45.10199,0.00391
0.0587428185628,15.621974262,44.64622,0.00626
0.00651926842362,5.18319175166,44.87745,0.06418
0.00297063879494,6.77723195583,44.09679,0.00879
0.0217726728951,13.9917809941,44.27269,0.00944
0.103705585053,20.8432373014,44.44430,0.08075
0.00168579808307,0.698445713312,44.93558,0.01528
0.0112989564236,11.9036080258,44.09816,0.00921
0.0636167735599,20.0173803661,44.33125,0.02216
0.00506229069805,9.44520580376,44.44104,0.01539
0.00856810863084, 9.05870199236,44.33125,0.02216
0.0301485293278,18.4943895675,44.44104,0.01539
0.0240495890449,20.2509937524,44.88637,0.11872
0.017948034611,13.3583057236,44.30239,0.05533
0.108851079059,35.7688778921,44.22117,0.12941
0.00735610337725,10.0813314222,44.76188,0.11883
0.00268057956779,3.96298109776,45.09383,0.02369
0.0065725890536,2.07929747792,44.44021,0.05336
0.0466257892282,14.2940016794,44.54921,0.06313
0.00490264712124,11.8433007154,44.65970,0.01427
0.0086636859448,10.2795967107,44.79900,0.00287
0.00376338919947,1.09887350618,44.18964,0.16066
0.00363488876161,14.9598639136,44.25669,0.01856
0.0148883468182,14.8230819586,44.35819,0.03576
0.203481875932,29.0892882508,44.91202,0.08730
0.291255999558,25.5231299302,45.05713,0.05654
0.00140739120307,7.38711799387,44.56043,0.21451
0.000691358981643,0.497308387358,44.78145,0.09942
0.00173958732635,6.48215056387,44.77507,0.07369
0.00975753475578,17.643611809,44.36424,0.00708
0.0813026782781,19.3222929729,44.17580,0.04911
,,44.40151,0.00523
,,44.20654,0.02390
,,44.59746,0.00671
,,44.17015,0.06091
,,44.31297,0.01773
,,44.52867,0.01500
,,44.68251,0.01940
